Player Name,Archetype,Minutes Played,Three-Point Field Goals Made,Three-Point Field Goals Attempted,Two-Point Field Goals Made,Two-Point Field Goals Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls
Shai Gilgeous-Alexander,4,34.0,1.3,3.6,9.3,16.2,7.6,8.7,0.9,4.7,6.2,2.0,0.9,2.2,2.5
Shake Milton,4,45.3,1.8,5.3,5.1,11.0,2.5,3.3,2.3,6.3,4.8,1.5,0.5,2.1,4.3
Stephen Curry,4,32.7,4.8,11.8,4.0,7.7,4.0,4.4,0.5,4.0,5.1,0.7,0.4,2.8,1.6
Tobias Harris,4,33.8,1.3,3.7,5.3,9.9,2.7,3.0,1.1,5.3,3.1,1.0,0.7,1.3,1.6
Trae Young,4,36.0,3.2,8.7,4.8,10.0,6.4,7.5,0.4,2.3,10.8,1.3,0.2,4.4,2.0
Tyler Herro,4,33.5,3.1,7.9,4.6,9.6,2.3,2.6,0.5,4.8,4.5,0.7,0.1,2.2,1.5
Tyrese Haliburton,4,32.2,2.8,7.8,4.4,7.4,2.8,3.3,0.5,3.4,10.9,1.2,0.7,2.3,1.1
Tyrese Maxey,4,37.5,3.0,8.1,6.1,12.1,4.7,5.4,0.5,3.2,6.2,1.0,0.5,1.7,2.2
Vasilije Mici?,4,58.8,2.2,7.7,5.8,10.8,3.1,3.8,0.6000000000000001,3.7,13.100000000000001,1.5,0.30000000000000004,5.0,3.3
Zach LaVine,4,34.9,2.4,6.8,4.4,8.3,3.5,4.1,0.3,4.8,3.9,0.8,0.3,2.1,2.3
Zion Williamson,4,31.5,0.1,0.3,8.8,15.4,5.0,7.1,1.7,4.1,5.0,1.1,0.7,2.8,2.3
